第1组,#genre#
CCTV4,http://110.7.128.167:8096/tsfile/live/0004_1.m3u8
CCTV5,http://110.7.128.167:8096/tsfile/live/0005_1.m3u8
CCTV6,http://110.7.128.167:8096/tsfile/live/0006_1.m3u8
CCTV7,http://110.7.128.167:8096/tsfile/live/0007_1.m3u8
CCTV9,http://110.7.128.167:8096/tsfile/live/0009_1.m3u8
CCTV11,http://110.7.128.167:8096/tsfile/live/0011_1.m3u8
CCTV13,http://110.7.128.167:8096/tsfile/live/0013_1.m3u8
CCTV15,http://110.7.128.167:8096/tsfile/live/0014_2.m3u8
江苏卫视,http://110.7.128.167:8096/tsfile/live/0127_1.m3u8
天津卫视,http://110.7.128.167:8096/tsfile/live/0135_1.m3u8
湖北卫视,http://110.7.128.167:8096/tsfile/live/0132_1.m3u8
宁夏卫视,http://110.7.128.167:8096/tsfile/live/0112_1.m3u8
IPTV6+,http://110.7.128.167:8096/tsfile/live/1010_1.m3u8
上海卫视,http://110.7.128.167:8096/tsfile/live/0107_1.m3u8
第3组,#genre#
CCTV14,http://110.7.128.17:8096/tsfile/live/0014_1.m3u8
辽宁卫视,http://110.7.128.17:8096/tsfile/live/0121_1.m3u8
山东卫视,http://110.7.128.17:8096/tsfile/live/0131_1.m3u8
云南卫视,http://110.7.128.17:8096/tsfile/live/0119_1.m3u8
宁夏卫视,http://110.7.128.17:8096/tsfile/live/0112_1.m3u8
第4组,#genre#
CCTV8,http://110.7.128.171:8096/tsfile/live/0008_1.m3u8
CCTV12,http://110.7.128.171:8096/tsfile/live/0012_1.m3u8
CCTV14,http://110.7.128.171:8096/tsfile/live/0014_1.m3u8
CCTV15,http://110.7.128.171:8096/tsfile/live/0014_2.m3u8
江西卫视,http://110.7.128.171:8096/tsfile/live/0138_1.m3u8
兵团卫视,http://110.7.128.171:8096/tsfile/live/0115_1.m3u8
IPTV6+,http://110.7.128.171:8096/tsfile/live/1010_1.m3u8
内蒙古,http://110.7.128.171:8096/tsfile/live/0018_1.m3u8
第5组,#genre#
CCTV8,http://110.7.128.180:8096/tsfile/live/0008_1.m3u8
广东卫视,http://110.7.128.180:8096/tsfile/live/0125_1.m3u8
贵州卫视,http://110.7.128.180:8096/tsfile/live/0120_1.m3u8
兵团卫视,http://110.7.128.180:8096/tsfile/live/0115_1.m3u8
内蒙古,http://110.7.128.180:8096/tsfile/live/0018_1.m3u8
第6组,#genre#
CCTV5,http://110.7.128.188:8096/tsfile/live/0005_1.m3u8
CCTV7,http://110.7.128.188:8096/tsfile/live/0007_1.m3u8
黑龙江卫视,http://110.7.128.188:8096/tsfile/live/0143_1.m3u8
东南卫视,http://110.7.128.188:8096/tsfile/live/0137_1.m3u8
IPTV6+,http://110.7.128.188:8096/tsfile/live/1010_1.m3u8
上海卫视,http://110.7.128.188:8096/tsfile/live/0107_1.m3u8
内蒙古,http://110.7.128.188:8096/tsfile/live/0018_1.m3u8
