秒换台465.94,#genre#
CCTV11,http://119.125.104.222:9901/tsfile/live/1031_1.m3u8
CCTV12,http://119.125.104.222:9901/tsfile/live/1032_1.m3u8
CCTV13,http://119.125.104.222:9901/tsfile/live/1033_1.m3u8
CCTV14,http://119.125.104.222:9901/tsfile/live/1034_1.m3u8
CCTV15,http://119.125.104.222:9901/tsfile/live/1035_1.m3u8
CCTV17,http://119.125.104.222:9901/tsfile/live/1036_1.m3u8
北京卫视,http://119.125.104.222:9901/tsfile/live/1060_1.m3u8
吉林卫视,http://119.125.104.222:9901/tsfile/live/1076_1.m3u8
东南卫视,http://119.125.104.222:9901/tsfile/live/1075_1.m3u8
天津卫视,http://119.125.104.222:9901/tsfile/live/1061_1.m3u8
四川卫视,http://119.125.104.222:9901/tsfile/live/1068_1.m3u8
云南卫视,http://119.125.104.222:9901/tsfile/live/1079_1.m3u8
兵团卫视,http://119.125.104.222:9901/tsfile/live/1090_1.m3u8
宁夏卫视,http://119.125.104.222:9901/tsfile/live/1086_1.m3u8
CHC家庭电影,http://119.125.104.222:9901/tsfile/live/1047_1.m3u8
G导视,http://119.125.104.222:9901/tsfile/live/1050_1.m3u8
上海卫视,http://119.125.104.222:9901/tsfile/live/1056_1.m3u8
上海纪实,http://119.125.104.222:9901/tsfile/live/1072_1.m3u8
中国教育,http://119.125.104.222:9901/tsfile/live/1071_1.m3u8
丰顺影视,http://119.125.104.222:9901/tsfile/live/1085_1.m3u8
五华,http://119.125.104.222:9901/tsfile/live/1000_1.m3u8
佳嘉卡通,http://119.125.104.222:9901/tsfile/live/1045_1.m3u8
内蒙古,http://119.125.104.222:9901/tsfile/live/1082_1.m3u8
凤凰卫视,http://119.125.104.222:9901/tsfile/live/1042_1.m3u8
南方一,http://119.125.104.222:9901/tsfile/live/1016_1.m3u8
南方二,http://119.125.104.222:9901/tsfile/live/1017_1.m3u8
南方五,http://119.125.104.222:9901/tsfile/live/1019_1.m3u8
南方四,http://119.125.104.222:9901/tsfile/live/1018_1.m3u8
梅州1,http://119.125.104.222:9901/tsfile/live/1002_1.m3u8
梅州1,http://119.125.104.222:9901/tsfile/live/1125_1.m3u8
梅州2,http://119.125.104.222:9901/tsfile/live/1003_1.m3u8
秒换台879.39,#genre#
CCTV1,http://119.125.104.109:9901/tsfile/live/1020_1.m3u8
CCTV2,http://119.125.104.109:9901/tsfile/live/1021_1.m3u8
CCTV3,http://119.125.104.109:9901/tsfile/live/1022_1.m3u8
CCTV4,http://119.125.104.109:9901/tsfile/live/1023_1.m3u8
CCTV5,http://119.125.104.109:9901/tsfile/live/1024_1.m3u8
CCTV5+,http://119.125.104.109:9901/tsfile/live/1025_1.m3u8
CCTV6,http://119.125.104.109:9901/tsfile/live/1026_1.m3u8
CCTV7,http://119.125.104.109:9901/tsfile/live/1027_1.m3u8
CCTV8,http://119.125.104.109:9901/tsfile/live/1028_1.m3u8
CCTV9,http://119.125.104.109:9901/tsfile/live/1029_1.m3u8
CCTV10,http://119.125.104.109:9901/tsfile/live/1030_1.m3u8
CCTV11,http://119.125.104.109:9901/tsfile/live/1031_1.m3u8
CCTV12,http://119.125.104.109:9901/tsfile/live/1032_1.m3u8
CCTV13,http://119.125.104.109:9901/tsfile/live/1033_1.m3u8
CCTV14,http://119.125.104.109:9901/tsfile/live/1034_1.m3u8
CCTV15,http://119.125.104.109:9901/tsfile/live/1035_1.m3u8
北京卫视,http://119.125.104.109:9901/tsfile/live/1055_1.m3u8
东南卫视,http://119.125.104.109:9901/tsfile/live/1070_1.m3u8
天津卫视,http://119.125.104.109:9901/tsfile/live/1056_1.m3u8
四川卫视,http://119.125.104.109:9901/tsfile/live/1063_1.m3u8
兵团卫视,http://119.125.104.109:9901/tsfile/live/1087_1.m3u8
CGTN,http://119.125.104.109:9901/tsfile/live/1036_1.m3u8
上海卫视,http://119.125.104.109:9901/tsfile/live/1051_1.m3u8
上海纪实,http://119.125.104.109:9901/tsfile/live/1067_1.m3u8
中国交通,http://119.125.104.109:9901/tsfile/live/1092_1.m3u8
五华,http://119.125.104.109:9901/tsfile/live/1000_1.m3u8
佳嘉卡通,http://119.125.104.109:9901/tsfile/live/1041_1.m3u8
内蒙古,http://119.125.104.109:9901/tsfile/live/1079_1.m3u8
凤凰卫视,http://119.125.104.109:9901/tsfile/live/1037_1.m3u8
北京纪实卫视,http://119.125.104.109:9901/tsfile/live/1052_1.m3u8
南方一,http://119.125.104.109:9901/tsfile/live/1016_1.m3u8
南方二,http://119.125.104.109:9901/tsfile/live/1017_1.m3u8
南方五,http://119.125.104.109:9901/tsfile/live/1019_1.m3u8
南方四,http://119.125.104.109:9901/tsfile/live/1018_1.m3u8
南方购物,http://119.125.104.109:9901/tsfile/live/1106_1.m3u8
哈哈炫动,http://119.125.104.109:9901/tsfile/live/1040_1.m3u8
国防军事,http://119.125.104.109:9901/tsfile/live/1100_1.m3u8
地理世界,http://119.125.104.109:9901/tsfile/live/1095_1.m3u8
央视文化,http://119.125.104.109:9901/tsfile/live/1099_1.m3u8
梅县1,http://119.125.104.109:9901/tsfile/live/1007_1.m3u8
梅州1,http://119.125.104.109:9901/tsfile/live/1002_1.m3u8
梅州2,http://119.125.104.109:9901/tsfile/live/1003_1.m3u8
秒换台1163.74,#genre#
CHC动作电影,http://119.125.130.175:9901/tsfile/live/1028_1.m3u8
CHC电影,http://119.125.130.175:9901/tsfile/live/1023_1.m3u8
CCTV1,http://119.125.130.175:9901/tsfile/live/0001_1.m3u8
CCTV2,http://119.125.130.175:9901/tsfile/live/0002_1.m3u8
CCTV3,http://119.125.130.175:9901/tsfile/live/0003_1.m3u8
CCTV4,http://119.125.130.175:9901/tsfile/live/0004_1.m3u8
